R_D Spend,Administration,Marketing Spend,State,Profit
106181.01782710437,146958.46277645585,56285.83713734685,New York,142609.7643833136
192607.14596148743,127513.28233611146,177282.08225275608,New York,272007.11028252123
159799.09127171076,143949.89415641892,112871.19621526534,Florida,213693.09595361692
139798.7726295555,139482.73504276486,151714.13823294058,California,220608.59788212937
73402.79606636548,109789.99788110852,231513.2947852186,California,194967.42989271967
73399.1780504304,142187.4235023117,99858.44582977498,New York,138892.27979309636
58712.54182522992,58849.25020519195,132076.58460712596,California,134426.28162806967
179926.42186624027,69598.28624191452,201110.22770860975,California,247767.5970670499
140167.25176148134,54522.728891053805,95759.6330983245,Florida,172005.28173283197
156210.88666940684,82533.03307632644,65395.9819657586,Florida,175230.9434039477
53087.674144370365,88867.7289689482,107950.2905827536,Florida,123425.49755779344
195486.47782429916,77134.90317738958,82244.25745080088,Florida,210671.0670648241
174866.39612006326,132873.75091519294,235939.53046851463,New York,290968.1154238441
81850.86660174142,85675.33266935893,211624.0759128834,Florida,199454.67242633374
77273.74508106509,78093.45096873808,176680.7513020847,California,147280.03253799977
77510.67647801507,104269.60831582485,224292.11803754355,New York,206694.8342988541
95636.33644393066,64092.42249747626,210734.4153798229,California,184840.94337329434
128713.46474483567,130219.69807540397,87314.01177720717,California,161732.31320886817
114791.75279631736,57455.06436797708,228511.79969799556,California,188785.74602492334
93684.3710297063,148688.69366005174,157868.44838313013,Florida,175587.68309721397
141777.93420835692,127224.47692966575,211488.03103281252,Florida,244562.68882251467
70924.07909780627,69871.56815341723,229218.25998469864,New York,181489.47383861875
93821.69728028272,50552.21171236024,113600.69499437278,New York,137342.8790618671
104954.27649405375,131546.1428454834,72010.38490553535,Florida,135152.8686738129
118410.49763255539,120685.73438476172,95587.03250838834,California,175331.35622695528
167776.39420895203,122900.71680409873,135421.55772525124,New York,236096.17595273998
79951.06732375396,127127.03466859457,213602.95318449862,Florida,200368.92260452727
127135.16576204174,57404.46517340904,222146.11665126868,Florida,205396.80351209315
138862.18532930638,85846.57285442727,51390.42610623814,Florida,176687.72746762444
56967.56190799966,61586.90595251297,152149.46051551314,California,135435.90747923107
141131.72778521577,136310.34258755937,133482.2006297558,Florida,212304.64307639905
75578.61855309372,112329.81268275579,94421.56209414605,Florida,115156.68205237987
59757.73894779193,83089.80248526493,73973.07346673656,Florida,101296.25391395752
192332.83058799998,56355.83502860236,117523.0342807256,Florida,228032.4894927197
194844.8049611839,81098.23217156623,238581.94078250384,New York,289977.4752498388
171259.6022174692,82518.3322026747,114640.58640415105,New York,219553.26001012034
95692.0653760056,122960.6178338064,153758.1243486732,Florida,191028.2895218678
64650.81710095758,113755.74713552132,190603.79177903556,California,156338.4613567138
152634.95397682354,138721.27425763267,122725.9204758588,New York,219716.38409215334
116022.8740609402,97221.49251619494,244356.41654419212,Florida,238384.20553873552
68305.73522671682,61959.42459383017,242489.45898842224,New York,188234.24264761503
124276.53651669052,121324.47872229951,100356.45916507283,New York,158156.2347050726
55158.27816728276,126078.50486168974,149449.7011784771,California,158865.66184738823
186398.0603118173,106127.71975694962,110175.66196335392,Florida,229399.56599523203
88816.99724000253,127096.7179954561,106968.09887549352,Florida,132124.48020718477
149378.3426530973,99379.55963643908,57377.38947090656,California,165635.93618114878
96756.66141341164,102273.28293819941,171912.86679597938,California,187088.65298001753
128010.20317667162,92754.10183585496,150535.8046457723,Florida,201292.63824811977
132006.54190149193,52541.91267440952,60295.75024999787,Florida,144985.44323826066
77728.16832882905,60789.14269933045,105729.29284732229,California,130620.91768607764
